index,Years,Contry,Migration,Energy_access,Life_expectancy,GDP_per_capita,Total_unemployment
0,YR2002,Costa Rica,8929.0,98.509188,77.983,4021.42536130228,6.33
1,YR2002,United States,1168499.0,100.0,76.9365853658537,37997.7596573051,5.78
2,YR2002,Canada,206028.0,100.0,79.5307317073171,24255.3385818322,7.66
3,YR2002,Mexico,-324106.0,97.897085,74.106,7650.93186425866,3.0
4,YR2002,"Venezuela, RB",-3934.0,99.8,72.662,3667.20019363107,16.17
5,YR2002,Ecuador,-28089.0,94.2339706420898,73.613,2184.209243808,4.899
6,YR2002,Paraguay,-36917.0,91.666443,70.025,1361.24928059287,9.39
7,YR2002,Peru,-157162.0,74.382688,71.661,2003.97108061855,4.84
8,YR2002,Bolivia,-16253.0,63.996855,63.306,888.198576030752,2.49
9,YR2002,Uruguay,-16958.0,97.8016662597656,75.54,4115.15461366223,16.65
10,YR2002,Brazil,6018.0,96.652996,70.41,2824.71539582671,10.64
11,YR2002,Chile,7828.0,97.2666854858398,77.445,4479.17504395379,10.17
12,YR2002,Argentina,-22668.0,96.0960006713867,74.408,2579.48876933284,19.59
13,YR2002,Colombia,-24379.0,94.8810424804688,71.939,2421.16210341989,15.63
14,YR2003,Costa Rica,8010.0,98.695902,78.072,4123.5064871039,6.56
15,YR2003,United States,1074728.0,100.0,77.0365853658537,39490.2749557007,5.99
16,YR2003,Canada,182430.0,100.0,79.7151219512195,28300.4630963791,7.57
17,YR2003,Mexico,-332396.0,97.3593902587891,74.274,7120.37212084792,3.46
18,YR2003,"Venezuela, RB",-5730.0,95.7,71.94,3243.36880476351,16.78
19,YR2003,Ecuador,-22605.0,94.973044,73.975,2438.34368429156,5.66
20,YR2003,Paraguay,-39940.0,92.558399,70.297,1436.76490433294,6.81
21,YR2003,Peru,-181202.0,74.380966,72.217,2126.13782387391,4.15
22,YR2003,Bolivia,-15499.0,72.3,63.635,892.355380474993,2.533
23,YR2003,Uruguay,-17099.0,97.8757781982422,75.785,3638.94354770831,16.66
24,YR2003,Brazil,-16908.0,96.980098,70.72,3056.64968001868,11.17
25,YR2003,Chile,9266.0,98.782325,77.387,4824.22054120463,9.77
26,YR2003,Argentina,-22353.0,96.2979507446289,74.08,3333.15290388997,15.36
27,YR2003,Colombia,-33007.0,95.0771865844727,72.361,2305.17050671011,14.19
28,YR2004,Costa Rica,7458.0,98.954779,78.331,4376.08042847261,6.39
29,YR2004,United States,1200409.0,100.0,77.4878048780488,41724.6316287624,5.53
30,YR2004,Canada,193282.0,100.0,79.9921951219512,32143.6814078562,7.19
31,YR2004,Mexico,-270797.0,98.597701,74.372,7525.4874609367,3.94
32,YR2004,"Venezuela, RB",-10798.0,99.1,72.514,4287.63157891057,15.07
33,YR2004,Ecuador,-20921.0,94.7642669677734,74.279,2703.56567057465,5.0
